Latency (ms), Jitter (ms), Bit Rate (Mbps), Packet Loss Rate (%), Peak Data Rate DL (Gbps), Peak Data Rate UL (Gbps), Mobility (km/h), Reliability (%), Service Availability (%), Survival Time (ms), Experienced Data Rate DL (Mbps), Experienced Data Rate UL (Mbps), Interruption Time (ms), Service
4.0,5.7,9.8,0.3,19.5,7.8,320.0,98.0,99.01,16.0,1000.0,100.0,1100.0, UHD_Video_Streaming
8.0,0.9,0.9,9.8e-05,17.6,7.0,0.0,99.0,99.9998,25.0,6.0,10.0,0.15, Smart_Grid
85.0,19.0,0.3,0.09,19.0,9.0,500.0,99.9999,99.99995,100.0,5.0,5.0,10000.0, ITS
1.2,11.0,15.0,1e-08,0.32,0.28,90.0,99.99996999999999,99.99999,48.9,15.0,85.0,0.0, e_Health
12.0,21.0,48.0,5.1,18.8,6.9,10.0,97.2,99.91,9.6,860.0,45.0,0.22, Immerse_Experience
148.0,31.0,9.5,1.2,19.0,9.0,500.0,99.92,98.9,99.5,50.0,18.0,0.2, Vo5G
25.0,0.15,1.0,9e-08,10.0,1.0,20.0,99.9995,99.9995,1.0,6.0,1.0,1.5, Industry_Automation
90.0,0.32,7.6,0.0007,1.0,0.02,250.0,99.99987,98.0,10.0,49.0,24.0,0.15, Connected_Vehicles
151.0,29.0,9.2,0.87,17.0,4.0,360.0,99.902,99.0,50.0,45.0,22.0,0.1, Vo5G
86.0,4.8,7.33,7.6e-05,0.05,0.13,320.0,99.04,99.7,100.0,8.7,99.0,9.0, Surveillance
55.0,0.38,10.1,0.00082,1.2,0.021,76.0,99.99985,96.5,3.0,48.0,21.0,0.0, Connected_Vehicles
28.0,0.75,0.75,6.500000000000001e-05,12.0,6.4,10.0,99.90899999999999,99.9997,24.0,7.0,9.0,0.6, Smart_Grid
66.0,5.4,9.37,0.0001,0.012,0.09,18.0,99.0,99.9,99.0,3.0,10.0,2.0, Surveillance
9.8,8.4,14.2,1.1e-09,0.3,0.15,120.0,99.999902,99.0,49.5,100.0,78.0,0.9, e_Health
72.0,19.5,0.53,0.0908,18.0,2.0,50.0,99.99904000000001,99.99991,95.0,10.0,9.0,1100.0, ITS
25.0,28.2,9.8,0.902,19.6,8.3,260.0,99.98,97.0,55.0,49.0,24.0,1.5, Vo5G
93.0,21.0,0.408,0.102,19.01,3.2,270.0,99.99903,99.9999,90.0,10.0,1.0,2000.0, ITS
18.0,5.62,7.4,0.92,17.3,9.1,26.0,98.4,99.999,15.4,960.0,490.0,1200.0, UHD_Video_Streaming
48.0,0.09,0.85,8e-08,18.0,4.1,25.0,99.99901,99.991,90.0,8.5,9.0,10.0, Industry_Automation
43.0,0.4,9.04,0.00098,0.09,0.0232,248.0,99.99909,95.2,2.0,49.0,20.0,1.0, Connected_Vehicles
7.2,18.9,43.5,4.97,15.2,4.7,24.0,98.2,99.93,10.0,870.0,48.0,0.01, Immerse_Experience
9.3,9.0,15.7,8.399999999999999e-09,0.22,0.24,55.0,99.999999,99.99999,50.0,99.0,96.0,0.8, e_Health
78.0,0.25,11.0,0.00095,0.91,0.013000000000000001,170.0,99.9994,96.0,48.0,49.2,21.2,0.0, Connected_Vehicles
95.0,4.98,8.6,0.00088,0.05,0.12,280.0,99.45,99.8,100.0,2.0,25.0,0.0, Surveillance
1.5,0.092,0.99,8.5e-08,19.5,8.6,30.0,99.99951999999999,99.9994,98.9,2.2,10.0,98.0, Industry_Automation
45.0,0.84,0.99,7e-05,20.0,9.3,0.0,99.99700000000001,99.999,24.5,8.0,8.0,1.0, Smart_Grid
13.0,19.4,47.0,4.35,17.4,6.21,30.0,95.76,99.96,9.9,970.0,50.0,0.0, Immerse_Experience
16.0,5.8,9.3,0.86,18.0,6.5,10.0,96.2,99.15,10.0,540.0,60.0,2800.0, UHD_Video_Streaming
140.0,29.5,3.2,0.743,17.2,5.1,480.0,99.92,98.0,80.0,47.0,23.0,0.8, Vo5G
99.0,18.7,0.41,0.09699999999999999,16.0,4.0,80.0,99.99954,99.99996999999999,92.0,7.0,8.0,5000.0, ITS
8.5,7.5,16.0,9.5e-08,0.28,0.2,100.0,99.99994000000001,99.999,10.0,90.0,11.0,0.99, e_Health
3.0,0.36,9.25,0.0008,0.81,0.022000000000000002,230.0,99.99951999999999,99.0,49.0,48.1,24.0,1.0, Connected_Vehicles
16.0,0.1,0.77,9.9e-08,18.6,7.2,5.0,99.99948,99.9999,0.2,1.5,5.6,99.0, Industry_Automation
12.0,4.5,9.0,0.00095,0.048,0.1,260.0,99.025,99.0,10.0,7.5,55.0,15.0, Surveillance
9.0,5.4,9.25,0.87,18.3,7.2,450.0,97.1,99.99799999999999,8.1,720.0,400.0,3000.0, UHD_Video_Streaming
42.0,0.65,0.95,9.2e-05,15.0,6.4,3.0,99.97,99.9999,25.0,6.0,6.0,0.0, Smart_Grid
14.0,17.6,48.8,3.85,19.2,3.4,12.0,96.5,99.99,9.86,1000.0,50.0,0.08, Immerse_Experience
3.0,9.2,13.4,9.2e-09,0.25,0.298,60.0,99.999902,99.9999,2.0,10.0,15.0,1.0, e_Health
75.0,5.3,8.8,0.00072,0.052000000000000005,0.092,120.0,99.03,99.1,12.0,10.0,100.0,20.0, Surveillance
8.0,0.092,1.2,9e-08,12.0,9.4,21.0,99.99962,99.9998,10.0,1.0,8.7,90.0, Industry_Automation
120.0,29.8,4.2,0.78,11.0,2.0,500.0,99.97,95.1,90.0,49.0,24.8,0.5, Vo5G
35.0,0.97,0.54,8.6e-05,3.4,1.2,1.0,99.91,99.9996,10.0,5.0,5.0,2.0, Smart_Grid
17.0,6.2,8.7,0.72,16.5,5.3,240.0,95.1,99.995,16.0,830.0,360.0,1000.0, UHD_Video_Streaming
98.0,0.41,9.1,0.00095,0.92,0.02,225.0,99.9996,98.5,50.0,49.9,25.0,0.6, Connected_Vehicles
12.0,16.4,0.35,0.098,12.6,5.1,130.0,99.99942,99.99998000000001,100.0,9.0,9.0,10000.0, ITS
11.0,5.0,9.2,0.0009699999999999999,0.040999999999999995,0.1,310.0,99.0,99.5,11.0,8.6,92.0,5.0, Surveillance
3.5,0.44,9.7,0.0009599999999999999,0.99,0.023,50.0,99.999,97.5,40.0,50.0,25.0,0.4, Connected_Vehicles
1.2,0.099,0.99,9.8e-08,11.6,9.0,28.0,99.999,99.99700000000001,92.0,1.2,3.4,85.0, Industry_Automation
1.6,9.6,15.2,9.6e-09,0.3,0.2,110.0,99.99996,99.0,1.2,95.0,12.0,1.2, e_Health
7.5,19.0,50.0,4.9,15.3,3.1,29.0,95.0,99.991,9.75,760.0,35.0,0.09, Immerse_Experience
4.5,5.84,9.1,1.0,18.0,9.25,260.0,95.0,99.1,15.9,945.0,430.0,1900.0, UHD_Video_Streaming
82.0,4.76,9.35,0.001,0.046,0.11,315.0,99.2,99.9,21.0,9.1,96.0,4.0, Surveillance
149.0,28.0,8.4,0.9,17.0,10.0,10.0,99.9,95.4,99.0,49.4,24.9,0.4, Vo5G
11.0,19.2,0.5,0.09,20.0,9.1,50.0,99.999,99.99991,90.0,10.0,5.0,9800.0, ITS
1.0,9.24,16.0,8.9e-09,0.25,0.16,55.0,99.99999,99.9,49.8,100.0,10.0,0.2, e_Health
49.0,1.0,0.96,0.0001,12.0,1.0,0.0,99.9,99.9994,10.2,5.2,9.0,1.2, Smart_Grid
7.3,20.0,49.8,5.0,19.75,9.8,25.0,97.8,99.9,7.4,500.0,40.0,0.0, Immerse_Experience
4.0,5.7,10.0,0.96,17.6,1.2,100.0,97.0,99.0,14.4,450.0,50.0,2100.0, UHD_Video_Streaming
91.0,4.84,9.84,0.0009199999999999999,0.048,0.08,200.0,99.01,99.2,89.0,9.05,60.0,3.0, Surveillance
3.8,0.43,9.9,0.00098,0.94,0.019,80.0,99.9998,99.0,30.0,48.0,20.0,0.8, Connected_Vehicles
1.6,0.083,0.89,8.9e-08,15.7,7.5,2.0,99.99902,99.995,85.0,9.4,2.0,76.0, Industry_Automation
21.0,26.0,9.12,1.0,14.3,2.1,3.0,99.95,98.9,98.7,46.5,22.6,0.3, Vo5G
10.0,18.9,0.46,0.1,18.0,7.6,499.0,99.9995,99.9999,80.0,1.0,9.0,9900.0, ITS
5.0,0.98,1.0,9.9e-05,11.0,1.5,2.0,99.902,99.9997,18.0,7.0,10.0,1.1, Smart_Grid
14.8,19.6,49.9,4.88,20.0,10.0,30.0,96.0,99.9,9.2,920.0,40.0,0.1, Immerse_Experience
10.5,19.0,0.4,0.1,12.0,6.0,50.0,99.999,99.99999,99.0,3.0,2.0,1050.0, ITS
100.0,5.0,10.0,0.001,0.05,0.11199999999999999,320.0,99.1,99.6,98.0,9.9,70.0,1.0, Surveillance
8.0,0.1,1.0,1e-07,20.0,8.0,30.0,99.9993,99.999,0.0,1.9,8.0,11.0, Industry_Automation
100.0,0.4,10.0,0.001,1.0,0.025,250.0,99.9991,95.1,25.0,47.0,23.0,1.0, Connected_Vehicles
148.0,25.0,10.0,1.0,15.0,5.0,60.0,99.9,99.0,99.7,47.0,25.0,0.25, Vo5G
19.8,5.82,10.0,0.976,16.0,10.0,160.0,95.5,99.999,13.3,600.0,500.0,2700.0, UHD_Video_Streaming
6.0,0.6,0.85,9.2e-05,15.45,8.6,0.0,99.915,99.9998,16.0,8.0,9.0,0.1, Smart_Grid
15.0,20.2,50.0,4.75,17.5,3.45,26.0,97.0,99.95,10.0,950.0,46.0,0.12, Immerse_Experience
4.2,5.0,9.81,1.1,12.0,1.0,10.0,95.2,99.9998,10.6,700.0,200.0,2900.0, UHD_Video_Streaming
9.7,7.5,15.0,1e-08,0.25,0.26,120.0,99.9999,99.99,49.9,15.0,92.0,0.3, e_Health
15.0,23.0,9.46,0.75,16.0,10.0,300.0,99.976,95.9,97.0,48.2,24.3,0.1, Vo5G
49.0,0.098,0.99,1e-07,16.0,5.0,25.0,99.9992,99.99,100.0,10.0,10.0,5.0, Industry_Automation
98.0,15.0,0.3,0.09699999999999999,11.0,1.0,480.0,99.99908,99.99991,89.0,2.0,8.0,1000.0, ITS
15.1,18.9,49.0,4.99,12.1,2.11,20.0,96.8,99.993,9.3,960.0,20.0,0.8, Immerse_Experience
10.0,10.0,14.3,7.6e-09,0.28,0.29,10.0,99.999975,99.99999,10.0,12.0,100.0,1.1, e_Health
19.0,4.6,8.7,0.85,15.76,5.2,0.0,95.36,99.6,12.0,9000.0,500.0,1600.0, UHD_Video_Streaming
90.0,0.35,8.7,0.00099,0.997,0.024,50.0,99.9992,98.9,1.0,40.0,17.0,0.0, Connected_Vehicles
9.0,16.0,40.0,4.1,16.7,7.4,0.0,95.7,99.93,9.8,1000.0,50.0,0.07, Immerse_Experience
5.5,5.3,9.9,1.0,17.0,6.0,60.0,96.5,99.0,12.0,800.0,430.0,2800.0, UHD_Video_Streaming
76.0,15.0,0.35,0.086,12.4,7.6,55.0,99.99915,99.9999,100.0,8.0,6.0,8000.0, ITS
2.0,0.1,0.8,8e-08,18.2,7.1,0.0,99.999,99.9999,92.0,5.0,5.0,0.0, Industry_Automation
10.0,5.86,9.98,0.92,18.0,10.0,35.0,97.0,99.99,13.0,740.0,230.0,1650.0, UHD_Video_Streaming
7.0,0.4,0.98,0.0001,20.0,10.0,0.0,99.9,99.999,11.0,7.0,5.0,0.6, Smart_Grid
20.0,30.0,9.5,0.996,17.2,6.4,500.0,99.98899999999999,95.0,100.0,50.0,25.0,0.0, Vo5G
11.0,20.0,25.0,4.3,20.0,8.0,25.0,95.2,99.9,10.0,860.0,40.0,1.0, Immerse_Experience
65.0,18.0,0.45,0.09,17.0,8.0,50.0,99.999,99.999,85.0,9.0,5.0,9670.0, ITS
10.0,0.09,0.91,7.2e-08,17.4,6.13,30.0,99.9991,99.999,87.0,8.0,7.0,1.0, Industry_Automation
12.0,0.55,0.97,9e-05,18.2,7.4,0.2,99.92,99.9999,22.0,9.0,6.0,0.8, Smart_Grid
16.5,5.5,10.0,0.7,18.4,7.0,400.0,96.0,99.999,11.0,960.0,500.0,1200.0, UHD_Video_Streaming
12.5,18.0,30.0,4.35,17.0,7.0,30.0,95.0,99.99,12.0,720.0,35.0,1.2, Immerse_Experience
18.0,0.07200000000000001,0.97,6.099999999999999e-08,16.2,8.4,26.0,99.9999,99.991,66.0,6.0,4.0,6.0, Industry_Automation
30.0,15.0,9.8,0.98,20.0,10.0,0.0,99.9,99.0,110.0,45.0,20.0,2.0, Vo5G
40.0,16.0,0.32,0.07200000000000001,16.1,7.0,60.0,99.9991,99.9995,120.0,8.4,7.0,1230.0, ITS
15.2,5.4,7.8,0.8,9.4,3.0,40.0,95.2,99.98,10.0,1000.0,250.0,3000.0, UHD_Video_Streaming
15.0,1.0,0.82,8.6e-05,17.1,8.9,0.5,99.99,99.9991,20.0,5.0,8.0,1.0, Smart_Grid
20.0,0.03,1.0,1e-07,11.8,9.15,27.0,99.9995,99.992,54.0,5.0,9.0,20.0, Industry_Automation
14.8,15.5,32.0,5.0,18.2,7.1,28.0,98.0,99.98,8.6,650.0,42.0,0.0, Immerse_Experience
16.0,8.0,0.25,0.1,15.3,8.4,65.0,99.9999,99.9999,96.0,9.2,9.0,3450.0, ITS
40.0,16.0,6.5,1.0,18.4,7.3,2.0,99.95,96.0,98.0,42.0,18.0,3.0, Vo5G
13.2,5.3,6.4,0.84,16.3,8.4,50.0,95.0,99.9,16.0,780.0,400.0,1780.0, UHD_Video_Streaming
23.0,0.08,0.75,1e-07,13.8,4.1,15.0,99.9996,99.9998,32.0,8.0,2.0,37.0, Industry_Automation
36.0,0.87,1.0,5e-05,16.5,4.1,1.0,99.91,99.9992,12.0,7.5,4.0,2.0, Smart_Grid
22.0,7.2,0.23,0.061,12.7,6.1,78.0,99.9995,99.9996,110.0,10.0,10.0,2000.0, ITS
10.1,10.0,41.0,5.1,13.0,10.0,27.0,97.2,99.91,7.5,870.0,50.0,1.5, Immerse_Experience
5.0,5.8,6.2,0.93,17.7,6.1,10.0,99.0,99.0,8.0,820.0,300.0,2230.0, UHD_Video_Streaming
100.0,8.0,5.0,0.72,13.7,8.9,3.0,99.96,98.0,102.0,31.0,10.0,1.5, Vo5G
31.0,0.071,0.66,5e-08,14.7,8.35,12.0,99.9999,99.9997,99.0,7.0,1.0,86.0, Industry_Automation
48.0,0.91,0.86,9.2e-05,13.3,6.5,0.0,99.98,99.9995,15.0,5.0,10.0,1.5, Smart_Grid
6.2,5.72,5.7,0.86,15.1,5.66,0.0,97.3,99.99,9.0,900.0,500.0,1800.0, UHD_Video_Streaming
18.0,19.1,0.41,0.05,14.8,7.2,310.0,99.999,99.9992,105.0,5.0,4.0,8600.0, ITS
9.8,8.9,44.0,3.1,12.1,3.0,22.0,97.8,99.99,5.0,920.0,30.0,2.0, Immerse_Experience
135.0,2.0,10.0,0.63,12.6,9.1,430.0,99.99,97.0,101.0,32.0,11.0,1.2, Vo5G
55.0,20.0,0.5,0.042,19.7,9.8,430.0,99.9997,99.9991,101.0,3.0,1.0,9500.0, ITS
30.0,0.1,0.55,4e-08,20.0,10.0,2.0,99.9998,99.99799999999999,22.0,9.0,9.0,70.0, Industry_Automation
7.1,18.2,28.0,2.8,11.3,2.0,10.0,96.3,99.92,8.0,810.0,20.0,1.8, Immerse_Experience
4.5,5.89,9.65,0.97,13.2,6.4,1.0,95.1,99.99700000000001,15.0,950.0,280.0,2950.0, UHD_Video_Streaming
39.0,0.95,0.92,9.9e-05,11.8,9.1,2.0,99.97,99.9999,21.0,8.2,5.0,2.0, Smart_Grid
90.0,1.0,8.7,0.99,14.5,8.7,60.0,99.98,99.0,105.0,28.0,24.0,0.0, Vo5G
48.0,0.09300000000000001,0.32,4.5e-08,19.0,1.0,3.0,99.9995,99.9999,85.0,7.1,8.6,3.0, Industry_Automation
70.0,11.0,0.49,0.069,20.0,10.0,500.0,99.9998,99.9998,108.0,7.5,7.0,7500.0, ITS
7.0,0.094,0.48,8.9e-08,17.1,7.6,1.0,99.999,99.99,17.0,8.4,9.1,6.0, Industry_Automation
8.0,16.7,29.0,2.4,19.7,4.5,8.0,95.9,99.93,11.0,880.0,45.0,1.7, Immerse_Experience
22.0,0.93,0.88,9.7e-05,10.0,8.8,0.0,99.99,99.999,25.0,9.0,7.0,0.1, Smart_Grid
